Source	Target	NorP	link	NorPv2
Acetatifactor sp900066565 PLC290.12	Phocaeicola vulgatus PLC218.21	P	Acetatifactor sp900066565 PLC290.12/Phocaeicola vulgatus PLC218.21	1
Acutalibacter timonensis PLC346.26	Bacteroides ovatus PLC215.11	N	Acutalibacter timonensis PLC346.26/Bacteroides ovatus PLC215.11	-1
Acutalibacter timonensis PLC346.26	Haemophilus_D parainfluenzae S53.30	N	Acutalibacter timonensis PLC346.26/Haemophilus_D parainfluenzae S53.30	-1
Acutalibacter timonensis PLC346.26	Negativibacillus massiliensis PLC333.9	P	Acutalibacter timonensis PLC346.26/Negativibacillus massiliensis PLC333.9	1
Acutalibacter timonensis PLC346.26	Phocaeicola dorei S76.13	N	Acutalibacter timonensis PLC346.26/Phocaeicola dorei S76.13	-1
Acutalibacteraceae S49.19	Blautia_A massiliensis S68.24	P	Acutalibacteraceae S49.19/Blautia_A massiliensis S68.24	1
Acutalibacteraceae S49.19	Dysosmobacter sp001916835 PLC223.22	P	Acutalibacteraceae S49.19/Dysosmobacter sp001916835 PLC223.22	1
Acutalibacteraceae S49.19	Dysosmobacter welbionis PLC210.10	P	Acutalibacteraceae S49.19/Dysosmobacter welbionis PLC210.10	1
Acutalibacteraceae S49.19	Faecalibacterium duncaniae PLC331.28	P	Acutalibacteraceae S49.19/Faecalibacterium duncaniae PLC331.28	1
Acutalibacteraceae S49.19	Faecalibacterium longum PLC248.14	P	Acutalibacteraceae S49.19/Faecalibacterium longum PLC248.14	1
Acutalibacteraceae S49.19	Klebsiella pneumoniae S56.12	N	Acutalibacteraceae S49.19/Klebsiella pneumoniae S56.12	-1
Acutalibacteraceae S49.19	Klebsiella quasipneumoniae PLC233.19	N	Acutalibacteraceae S49.19/Klebsiella quasipneumoniae PLC233.19	-1
Acutalibacteraceae S49.19	Klebsiella variicola PLC334.15	N	Acutalibacteraceae S49.19/Klebsiella variicola PLC334.15	-1
Acutalibacteraceae S49.19	Veillonella parvula_A PLC317.3	N	Acutalibacteraceae S49.19/Veillonella parvula_A PLC317.3	-1
Acutalibacteraceae S49.19	Winkia sp002849225 PLC200.9	N	Acutalibacteraceae S49.19/Winkia sp002849225 PLC200.9	-1
Acutalibacteraceae S79.35	Alistipes_A indistinctus PLC321.7	P	Acutalibacteraceae S79.35/Alistipes_A indistinctus PLC321.7	1
Acutalibacteraceae S79.35	Bacteroides uniformis PLC350.4	P	Acutalibacteraceae S79.35/Bacteroides uniformis PLC350.4	1
Acutalibacteraceae S79.35	Parabacteroides merdae PLC248.7	P	Acutalibacteraceae S79.35/Parabacteroides merdae PLC248.7	1
Agathobacter faecis PLC230.14	Clostridium_AQ innocuum S86.26	N	Agathobacter faecis PLC230.14/Clostridium_AQ innocuum S86.26	-1
Agathobacter faecis PLC230.14	Enterocloster sp001517625 PLC298.4	N	Agathobacter faecis PLC230.14/Enterocloster sp001517625 PLC298.4	-1
Agathobacter rectalis S59.19	Bacteroides ovatus PLC215.11	N	Agathobacter rectalis S59.19/Bacteroides ovatus PLC215.11	-1
Agathobacter rectalis S59.19	Prevotella copri_B PLC286.23	N	Agathobacter rectalis S59.19/Prevotella copri_B PLC286.23	-1
Agathobacter sp900543445 PLC123.3	Faecalibacterium prausnitzii_D S46.19	P	Agathobacter sp900543445 PLC123.3/Faecalibacterium prausnitzii_D S46.19	1
Agathobaculum butyriciproducens PLC247.18	Agathobaculum butyriciproducens PLC320.16	P	Agathobaculum butyriciproducens PLC247.18/Agathobaculum butyriciproducens PLC320.16	1
Agathobaculum butyriciproducens PLC247.18	Alistipes putredinis PLC188.14	P	Agathobaculum butyriciproducens PLC247.18/Alistipes putredinis PLC188.14	1
Agathobaculum butyriciproducens PLC247.18	Phocaeicola dorei S76.13	P	Agathobaculum butyriciproducens PLC247.18/Phocaeicola dorei S76.13	1
Agathobaculum butyriciproducens PLC247.18	Prevotella copri_B PLC286.23	P	Agathobaculum butyriciproducens PLC247.18/Prevotella copri_B PLC286.23	1
Agathobaculum butyriciproducens PLC320.16	Bacteroides caccae S67.19	P	Agathobaculum butyriciproducens PLC320.16/Bacteroides caccae S67.19	1
Agathobaculum butyriciproducens PLC320.16	Ruminococcus_C sp000980705 PLC253.25	P	Agathobaculum butyriciproducens PLC320.16/Ruminococcus_C sp000980705 PLC253.25	1
Alistipes putredinis PLC188.14	Bacteroides thetaiotaomicron PLC291.9	P	Alistipes putredinis PLC188.14/Bacteroides thetaiotaomicron PLC291.9	1
Alistipes putredinis PLC188.14	Collinsella S57.27	P	Alistipes putredinis PLC188.14/Collinsella S57.27	1
Alistipes putredinis PLC188.14	Mediterraneibacter faecis PLC345.1	N	Alistipes putredinis PLC188.14/Mediterraneibacter faecis PLC345.1	-1
Alistipes putredinis PLC188.14	Parabacteroides merdae PLC355.27	P	Alistipes putredinis PLC188.14/Parabacteroides merdae PLC355.27	1
Alistipes_A indistinctus PLC321.7	Bacteroides uniformis PLC350.4	P	Alistipes_A indistinctus PLC321.7/Bacteroides uniformis PLC350.4	1
Alistipes_A indistinctus PLC321.7	Phocaeicola massiliensis S86.10	P	Alistipes_A indistinctus PLC321.7/Phocaeicola massiliensis S86.10	1
Alloprevotella sp900540885 PLC222.17	Bacteroides fragilis_A PLC311.34	P	Alloprevotella sp900540885 PLC222.17/Bacteroides fragilis_A PLC311.34	1
Alloprevotella sp900540885 PLC222.17	Faecalibacterium longum S56.8	P	Alloprevotella sp900540885 PLC222.17/Faecalibacterium longum S56.8	1
Alloprevotella sp900540885 PLC222.17	Phocaeicola dorei S76.13	P	Alloprevotella sp900540885 PLC222.17/Phocaeicola dorei S76.13	1
Anaerobutyricum hallii PLC224.3	Collinsella S57.27	N	Anaerobutyricum hallii PLC224.3/Collinsella S57.27	-1
Anaerobutyricum hallii PLC224.3	Faecalibacterium longum S56.8	N	Anaerobutyricum hallii PLC224.3/Faecalibacterium longum S56.8	-1
Anaerobutyricum soehngenii S43.2	Blautia_A massiliensis S68.24	P	Anaerobutyricum soehngenii S43.2/Blautia_A massiliensis S68.24	1
Anaerostipes caccae PLC229.16	Copromonas sp900066535 PLC205.14	P	Anaerostipes caccae PLC229.16/Copromonas sp900066535 PLC205.14	1
Anaerostipes hadrus_A PLC296.25	Blautia_A wexlerae PLC328.3	P	Anaerostipes hadrus_A PLC296.25/Blautia_A wexlerae PLC328.3	1
Anaerostipes hadrus_A PLC296.25	Coprococcus sp000154245 PLC258.24	P	Anaerostipes hadrus_A PLC296.25/Coprococcus sp000154245 PLC258.24	1
Anaerostipes hadrus_A PLC296.25	Dorea_A longicatena S42.12	P	Anaerostipes hadrus_A PLC296.25/Dorea_A longicatena S42.12	1
Anaerotignum faecicola S68.14	Dialister sp900541485 PLC222.21	P	Anaerotignum faecicola S68.14/Dialister sp900541485 PLC222.21	1
Anaerotignum faecicola S68.14	Fimenecus sp000432435 PLC315.12	P	Anaerotignum faecicola S68.14/Fimenecus sp000432435 PLC315.12	1
Bacteroides caccae S67.19	Bacteroides ovatus PLC215.11	P	Bacteroides caccae S67.19/Bacteroides ovatus PLC215.11	1
Bacteroides fragilis PLC264.21	Blautia_A wexlerae PLC335.13	P	Bacteroides fragilis PLC264.21/Blautia_A wexlerae PLC335.13	1
Bacteroides fragilis PLC264.21	Dorea_A longicatena S42.12	N	Bacteroides fragilis PLC264.21/Dorea_A longicatena S42.12	-1
Bacteroides fragilis PLC264.21	Escherichia coli S49.22	P	Bacteroides fragilis PLC264.21/Escherichia coli S49.22	1
Bacteroides fragilis PLC264.21	Faecalibacterium duncaniae PLC331.28	N	Bacteroides fragilis PLC264.21/Faecalibacterium duncaniae PLC331.28	-1
Bacteroides fragilis PLC264.21	Faecousia sp900540635 S60.10	N	Bacteroides fragilis PLC264.21/Faecousia sp900540635 S60.10	-1
Bacteroides fragilis PLC264.21	Negativibacillus massiliensis PLC333.9	N	Bacteroides fragilis PLC264.21/Negativibacillus massiliensis PLC333.9	-1
Bacteroides fragilis PLC264.21	Winkia sp002849225 PLC200.9	P	Bacteroides fragilis PLC264.21/Winkia sp002849225 PLC200.9	1
Bacteroides fragilis_A PLC311.34	Bacteroides ovatus PLC215.11	P	Bacteroides fragilis_A PLC311.34/Bacteroides ovatus PLC215.11	1
Bacteroides fragilis_A PLC311.34	Ruminococcus_C sp000980705 PLC253.25	P	Bacteroides fragilis_A PLC311.34/Ruminococcus_C sp000980705 PLC253.25	1
Bacteroides fragilis_A PLC311.34	Ruminococcus_E sp934476515 PLC191.21	P	Bacteroides fragilis_A PLC311.34/Ruminococcus_E sp934476515 PLC191.21	1
Bacteroides ovatus PLC215.11	Bacteroides thetaiotaomicron PLC291.9	P	Bacteroides ovatus PLC215.11/Bacteroides thetaiotaomicron PLC291.9	1
Bacteroides ovatus PLC215.11	Blautia_A massiliensis PLC212.9	N	Bacteroides ovatus PLC215.11/Blautia_A massiliensis PLC212.9	-1
Bacteroides ovatus PLC215.11	Blautia_A massiliensis S68.24	N	Bacteroides ovatus PLC215.11/Blautia_A massiliensis S68.24	-1
Bacteroides ovatus PLC215.11	Faecalibacterium prausnitzii_D S46.19	N	Bacteroides ovatus PLC215.11/Faecalibacterium prausnitzii_D S46.19	-1
Bacteroides ovatus PLC215.11	Haemophilus_D parainfluenzae S53.30	P	Bacteroides ovatus PLC215.11/Haemophilus_D parainfluenzae S53.30	1
Bacteroides ovatus PLC215.11	Haemophilus_D parainfluenzae_J PLC356.3	P	Bacteroides ovatus PLC215.11/Haemophilus_D parainfluenzae_J PLC356.3	1
Bacteroides ovatus PLC215.11	Lachnospiraceae PLC221.20	N	Bacteroides ovatus PLC215.11/Lachnospiraceae PLC221.20	-1
Bacteroides ovatus PLC215.11	Phocaeicola dorei S76.13	P	Bacteroides ovatus PLC215.11/Phocaeicola dorei S76.13	1
Bacteroides ovatus PLC215.11	Phocaeicola vulgatus PLC218.21	P	Bacteroides ovatus PLC215.11/Phocaeicola vulgatus PLC218.21	1
Bacteroides ovatus PLC215.11	Streptococcus alactolyticus PLC233.9	N	Bacteroides ovatus PLC215.11/Streptococcus alactolyticus PLC233.9	-1
Bacteroides ovatus PLC215.11	Veillonella parvula_A PLC317.3	P	Bacteroides ovatus PLC215.11/Veillonella parvula_A PLC317.3	1
Bacteroides stercoris PLC246.19	Phocaeicola dorei S76.13	P	Bacteroides stercoris PLC246.19/Phocaeicola dorei S76.13	1
Bacteroides stercoris PLC246.19	Phocaeicola massiliensis S86.10	P	Bacteroides stercoris PLC246.19/Phocaeicola massiliensis S86.10	1
