node	GTDBTK
Acetatifactor sp900066565 PLC290.12	Acetatifactor sp900066565
Acutalibacter timonensis PLC346.26	Acutalibacter timonensis
Acutalibacteraceae S49.19	Acutalibacteraceae
Acutalibacteraceae S79.35	Acutalibacteraceae
Agathobacter faecis PLC230.14	Agathobacter faecis
Agathobacter rectalis S59.19	Agathobacter rectalis
Agathobacter sp900543445 PLC123.3	Agathobacter sp900543445
Agathobaculum butyriciproducens PLC247.18	Agathobaculum butyriciproducens
Agathobaculum butyriciproducens PLC320.16	Agathobaculum butyriciproducens
Alistipes putredinis PLC188.14	Alistipes putredinis
Alistipes_A indistinctus PLC321.7	Alistipes_A indistinctus
Alloprevotella sp900540885 PLC222.17	Alloprevotella sp900540885
Anaerobutyricum hallii PLC224.3	Anaerobutyricum hallii
Anaerobutyricum soehngenii S43.2	Anaerobutyricum soehngenii
Anaerostipes caccae PLC229.16	Anaerostipes caccae
Anaerostipes hadrus_A PLC296.25	Anaerostipes hadrus_A
Anaerotignum faecicola S68.14	Anaerotignum faecicola
Bacteroides caccae S67.19	Bacteroides caccae
Bacteroides fragilis PLC264.21	Bacteroides fragilis
Bacteroides fragilis_A PLC311.34	Bacteroides fragilis_A
Bacteroides ovatus PLC215.11	Bacteroides ovatus
Bacteroides stercoris PLC246.19	Bacteroides stercoris
Bacteroides uniformis PLC223.2	Bacteroides uniformis
Bacteroides uniformis PLC350.4	Bacteroides uniformis
Bifidobacterium pseudocatenulatum PLC218.18	Bifidobacterium pseudocatenulatum
Blautia sp000432195 PLC332.10	Blautia sp000432195
Blautia sp900541955 PLC266.3	Blautia sp900541955
Blautia_A caecimuris PLC224.7	Blautia_A caecimuris
Blautia_A massiliensis PLC212.9	Blautia_A massiliensis
Blautia_A massiliensis S68.24	Blautia_A massiliensis
Blautia_A wexlerae PLC194.32	Blautia_A wexlerae
Blautia_A wexlerae PLC215.19	Blautia_A wexlerae
Blautia_A wexlerae PLC235.25	Blautia_A wexlerae
Blautia_A wexlerae PLC268.24	Blautia_A wexlerae
Blautia_A wexlerae PLC274.12	Blautia_A wexlerae
Blautia_A wexlerae PLC335.13	Blautia_A wexlerae
Choladocola sp003480725 S43.9	Choladocola sp003480725
Clostridium_AP scindens PLC250.23	Clostridium_AP scindens
Clostridium_AP sp000509125 S68.22	Clostridium_AP sp000509125
Clostridium_AQ innocuum PLC192.16	Clostridium_AQ innocuum
Clostridium_AQ innocuum S86.26	Clostridium_AQ innocuum
Clostridium_AQ sp003481775 S75.14	Clostridium_AQ sp003481775
Clostridium_Q fessum PLC349.4	Clostridium_Q fessum
Collinsella S57.27	Collinsella
Coprococcus eutactus S36.16	Coprococcus eutactus
Coprococcus sp000154245 PLC258.24	Coprococcus sp000154245
Copromonas sp900066535 PLC205.14	Copromonas sp900066535
Dialister invisus PLC242.20	Dialister invisus
Dialister sp900541485 PLC222.21	Dialister sp900541485
Dialister succinatiphilus PLC203.25	Dialister succinatiphilus
Dorea_A longicatena S42.12	Dorea_A longicatena
Dorea_A longicatena_B PLC189.11	Dorea_A longicatena_B
Dysosmobacter sp001916835 PLC223.22	Dysosmobacter sp001916835
Dysosmobacter welbionis PLC210.10	Dysosmobacter welbionis
Enterocloster clostridioformis PLC317.6	Enterocloster clostridioformis
Enterocloster sp001517625 PLC298.4	Enterocloster sp001517625
Escherichia coli PLC228.20	Escherichia coli
Escherichia coli PLC327.16	Escherichia coli
Escherichia coli PLC343.24	Escherichia coli
Escherichia coli S49.22	Escherichia coli
Eubacterium_G ventriosum PLC310.16	Eubacterium_G ventriosum
Faecalibacterium duncaniae PLC210.24	Faecalibacterium duncaniae
Faecalibacterium duncaniae PLC331.28	Faecalibacterium duncaniae
Faecalibacterium longum PLC192.24	Faecalibacterium longum
Faecalibacterium longum PLC205.15	Faecalibacterium longum
Faecalibacterium longum PLC208.21	Faecalibacterium longum
Faecalibacterium longum PLC227.28	Faecalibacterium longum
Faecalibacterium longum PLC248.14	Faecalibacterium longum
Faecalibacterium longum S56.8	Faecalibacterium longum
Faecalibacterium longum S58.3	Faecalibacterium longum
Faecalibacterium longum S65.8	Faecalibacterium longum
Faecalibacterium prausnitzii_D S46.19	Faecalibacterium prausnitzii_D
Faecalibacterium prausnitzii_E PLC350.23	Faecalibacterium prausnitzii_E
Faecalibacterium sp900539945 PLC201.23	Faecalibacterium sp900539945
Faecalimonas umbilicata PLC213.1	Faecalimonas umbilicata
Faecousia sp900540635 S60.10	Faecousia sp900540635
Fusicatenibacter saccharivorans PLC187.2	Fusicatenibacter saccharivorans
Gemmiger formicilis PLC190.4	Gemmiger formicilis
Gemmiger sp900540595 PLC337.24	Gemmiger sp900540595
Gordonibacter pamelaeae S68.17	Gordonibacter pamelaeae
Haemophilus_D parainfluenzae S53.30	Haemophilus_D parainfluenzae
Klebsiella pneumoniae S56.12	Klebsiella pneumoniae
Klebsiella quasipneumoniae PLC233.19	Klebsiella quasipneumoniae
Klebsiella quasipneumoniae S58.11	Klebsiella quasipneumoniae
Klebsiella variicola PLC334.15	Klebsiella variicola
Lachnospira eligens_A PLC213.8	Lachnospira eligens_A
Lentihominibacter faecis PLC292.10	Lentihominibacter faecis
Ligilactobacillus ruminis PLC268.42	Ligilactobacillus ruminis
Ligilactobacillus salivarius PLC310.24	Ligilactobacillus salivarius
Megasphaera sp000417505 S39.6	Megasphaera sp000417505
Negativibacillus massiliensis PLC333.9	Negativibacillus massiliensis
Negativibacillus sp000435195 S79.34	Negativibacillus sp000435195
Negativibacillus sp000435195 S86.29	Negativibacillus sp000435195
Parabacteroides distasonis PLC342.15	Parabacteroides distasonis
Parabacteroides merdae PLC248.7	Parabacteroides merdae
Phocaeicola dorei S76.13	Phocaeicola dorei
Phocaeicola vulgatus PLC218.21	Phocaeicola vulgatus
Plesiomonas shigelloides S70.1	Plesiomonas shigelloides
Prevotella sp015074785 PLC315.29	Prevotella sp015074785
Rothia mucilaginosa_B PLC332.9	Rothia mucilaginosa_B
Rothia mucilaginosa_B S42.25	Rothia mucilaginosa_B
Ruminococcus_B gnavus PLC335.1	Ruminococcus_B gnavus
Streptococcus alactolyticus PLC233.9	Streptococcus alactolyticus
Streptococcus pasteurianus PLC274.20	Streptococcus pasteurianus
Streptococcus S50.41	Streptococcus
Streptococcus salivarius PLC214.23	Streptococcus salivarius
Streptococcus salivarius PLC275.3	Streptococcus salivarius
Veillonella parvula_A PLC317.3	Veillonella parvula_A
Winkia sp002849225 PLC200.9	Winkia sp002849225
Prevotella copri_B PLC286.23	Prevotella copri_B
