#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
Agathobacter sp900543445 PLC123.3	4978	2173	0	2077	5030	35621	9698	13727	7129	1126	1808	4879	5039	2510	540	614	3724	2522	12699	9179	1785	6078	4520	7661	11915	7178	19165	8749	7613	1264	4313	9107	23521	556	0	6042	0	21659	641	13333	6157	6220	0	1770	5474	0	4220	5114	0	2389	99457	58779	0	23004	1040	0	4209	21038	0	0	5283	6976	13723	71458	8322	5586	0	17002	1306	15598	4246	8037	7201	6232	5830	3085
Fusicatenibacter saccharivorans PLC187.2	467449	23410	5984	89359	14502	105224	55639	0	36453	98779	1744	42972	36271	9207	50744	95267	7174	84908	156337	67531	19704	98834	85309	30303	18459	55321	45355	83084	61329	41389	26231	67348	844	141823	0	127515	130151	10941	65488	37789	27598	60133	50352	1380	21417	0	119429	63991	0	0	69859	11268	0	187208	1250	0	8460	0	833	34749	77179	2809	53105	64108	14689	55079	16946	100677	1490	25209	41786	113357	70718	26245	0	21904
Alistipes putredinis PLC188.14	57191	790463	1325	18658	196166	577284	311874	26045	26324	1852419	693274	18522	22549	167254	331416	223721	254933	250222	425021	0	257695	5627	30988	3907	192158	0	15284	1050	0	119308	23184	57499	24346	176608	1719	834576	39453	49918	97042	542834	21697	582564	0	0	16650	29755	586505	65210	0	21841	49108	65502	0	2105388	0	9500	10792	95291	90796	25472	86248	72138	15351	47735	287818	0	48525	1613013	4195	39406	176985	404850	1332023	65658	189802	602701
Dorea_A longicatena_B PLC189.11	32704	391199	0	0	30962	24731	13884	90314	0	33392	25310	34142	65654	465924	13491	0	6415	0	34461	69439	66104	6751	5975	257190	72803	77505	31002	60573	49512	16317	21680	73109	10121	0	0	17312	0	85543	19886	38533	0	28100	2410	16704	11549	0	12363	17453	0	16724	21788	14013	13589	63992	17083	0	16337	53561	7807	0	2292	10039	21975	80860	67359	52433	0	33229	622	21160	26038	20999	30222	187564	85427	3809
Agathobaculum sp003481705 PLC189.19	3022	136506	0	3654	17836	2317	10297	4401	1295	0	644	928	30119	129053	0	0	1399	2898	1018	1259	0	1833	1219	9570	2263	469	29603	1220	1096	11518	877	0	654	1043	1801	7137	1831	2241	975	4643	0	2608	1652	811	1094	0	7676	701	0	0	7128	424	0	0	1254	614	1096	34016	1900	0	8335	7391	15977	5851	949	2557	0	7416	558	6515	12566	928	13238	2263	1013	1342
Dialister sp002320515 PLC189.22	4592	1901810	1311	6225	7296	9507	19123	6752	5757	4974	8468	4333	8256	1704068	5829	3608	8227	3176	14257	7552	19002	11877	10185	18812	23643	2696	5577	8582	6629	10097	4657	15101	8856	430	0	5586	2956	18880	0	3820	7348	3440	977	0	5439	0	7863	2011	2909	3521	11146	12489	2590	15711	0	0	5378	6058	629	0	6461	27245	13002	32229	16582	1386	0	22995	5124	4904	5448	12090	10535	35269	12896	11135
Gemmiger formicilis PLC190.4	584	25065	500	0	50770	477	191099	80762	0	2722	80924	59478	28107	18028	4495	15567	22564	15286	69358	85526	3627	0	0	0	48009	55873	99186	110099	82957	16037	33336	57799	45271	1124	0	85808	0	26177	4510	261764	96939	38507	17840	7795	4544	41955	42978	15077	11311	977	85617	44374	2756	51687	37603	0	34287	135080	0	7573	6923	68592	52903	21970	32499	517	68882	434655	0	112914	55539	106293	60613	314926	73453	34240
Ruminococcus_E sp934476515 PLC191.21	3533	6210	0	6152	14604	508	15519	0	10690	46765	30139	1025	30029	4384	32586	15267	3801	13511	10764	0	14650	2949	5296	17606	22843	0	6915	0	1651	58971	2607	4064	1121	4207	2919	11747	11533	0	15020	2321	20593	6282	0	1704	40034	0	4813	0	5787	12465	1843	3156	8566	18696	606	2666	0	525	5150	1250	5735	0	0	12755	48190	0	5424	8205	4449	65988	3307	8533	8822	13859	4083	4182
Clostridium_AQ innocuum PLC192.16	14237	5516	3257	79494	1055	13265	4502	20659	142771	15670	9179	2763	30426	7703	2027	9574	4541	2047	109767	9793	7588	15338	14844	29646	5177	3553	2797	8896	5747	12146	2251	43495	3100	129657	16139	4275	103856	3093	24466	5508	18488	7277	283631	29958	11074	1891	3009	4421	0	7645	5137	2873	6207	4235	5787	5915	15342	5908	45398	9845	184117	8337	0	3910	2714	13412	19630	3591	24653	6823	7848	66269	1881	9874	38280	3433
Faecalibacterium longum PLC192.24	20548	63622	3964	12691	55952	72298	48862	0	0	0	122893	18506	498412	59826	0	0	69192	135135	14716	29430	0	5482	5946	19588	200279	0	115614	16570	15896	340100	9715	15948	25483	0	28483	56857	0	28028	0	28805	19591	35248	0	0	35048	0	94187	14851	0	5229	43964	28737	26844	46737	12815	44925	5779	520	4892	0	12023	54577	108323	48924	147650	0	0	102120	1971	52956	49298	9934	28126	38141	87189	114514
Schaedlerella glycyrrhizinilytica_A PLC192.9	44823	483	0	13861	621	7860	4717	27895	32116	2496	4048	6244	15076	0	995	856	9626	10446	13374	24818	3179	0	2190	46966	6286	0	12778	26716	19236	5157	5188	7940	2618	0	1255	8577	8882	5254	73827	2986	4734	3191	0	74985	5039	0	9968	1250	0	1395	3448	3189	1575	3595	0	522	19821	0	28241	856	9147	3791	830	6907	3372	8657	0	4339	69634	4882	27019	10392	10902	33345	10791	10680
Blautia_A wexlerae PLC194.32	335868	107915	13021	78329	53789	81963	130657	120583	32467	19600	44358	88614	34981	165133	30719	0	88188	12465	187872	144935	203640	233230	179092	750397	29781	151997	82372	118753	86085	0	62660	115854	33822	18341	0	83695	28102	197241	11800	145611	123025	117269	13315	33410	45468	19631	223657	20563	25263	45231	27196	56818	0	203819	35045	0	73470	150771	31877	5481	180911	91208	48427	252267	15255	545002	4942	124858	59053	108510	13793	127037	14309	423727	168527	55850
Dorea_A longicatena_B PLC199.5	7239	0	0	148953	20661	29996	13616	85729	6215	12593	26034	36517	62486	0	5292	1683	13882	0	6591	67780	41181	18989	15625	195345	11089	98348	26692	59819	44093	16291	23924	47456	7242	4160	2794	13062	33994	79317	14095	28802	731	39387	0	11203	16283	0	0	12402	20398	0	26544	12714	13639	99588	17487	1669	4956	46751	55357	0	0	14912	28355	14661	5191	68906	0	56166	2908	25680	17057	3065	29031	151312	98352	8822
Varibaculum cambriense_A PLC200.13	3269	1267	6152883	4993	1451	3829	2213	2785	69496	0	3155	2517	5056	1358	0	0	1308	1569	6363	3417	451	2960	2559	10403	1702	3923	832	2738	2295	7338	1429	3333	787	1432	2840	0	4323	3986	2204	3269	2561	2676	1434	1343	1698	0	2577	845	2039	1675	1093	1182	0	3110	0	1223	4246	2970	8270	558	3798	1687	1094	9123	1182	2853	0	3131	1045	710	1570	4945	1184	2776	3188	1049
Winkia sp002849225 PLC200.9	20392	4089	504105	18221	4667	16293	16511	155627	8971	2014	18104	2592	7720	4313	2573	881	18344	7643	28240	53386	15562	24016	22884	33114	7018	9232	5152	59829	54634	6038	1708	13505	36625	10570	69175	1959	50749	13807	86402	10237	8833	31956	121575	144668	27074	75206	5304	106239	114903	9846	10758	13445	57605	20134	79107	94027	65909	28250	8825	217627	40696	18747	6313	2540	6464	54756	194737	6726	11983	5774	6649	88379	6502	5034	16891	10827
