user_genome	classification	ID
PLC123.12	Eubacterium_R sp000434995	Eubacterium_R sp000434995 PLC123.12
PLC123.3	Agathobacter sp900543445	Agathobacter sp900543445 PLC123.3
PLC123.5	Lachnospira eligens_A	Lachnospira eligens_A PLC123.5
PLC136.2	Bacteroides uniformis	Bacteroides uniformis PLC136.2
PLC136.3	Parasutterella gallistercoris	Parasutterella gallistercoris PLC136.3
PLC187.15	Amedibacterium intestinale	Amedibacterium intestinale PLC187.15
PLC187.2	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC187.2
PLC187.3	Eggerthella lenta	Eggerthella lenta PLC187.3
PLC188.11	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 PLC188.11
PLC188.12	Alistipes shahii	Alistipes shahii PLC188.12
PLC188.14	Alistipes putredinis	Alistipes putredinis PLC188.14
PLC188.18	Oscillospiraceae	Oscillospiraceae PLC188.18
PLC188.2	Megamonas funiformis	Megamonas funiformis PLC188.2
PLC188.23	Oscillospiraceae	Oscillospiraceae PLC188.23
PLC188.24	Ruminococcus_C sp000433635	Ruminococcus_C sp000433635 PLC188.24
PLC189.11	Dorea_A longicatena_B	Dorea_A longicatena_B PLC189.11
PLC189.13	Enterococcus faecalis	Enterococcus faecalis PLC189.13
PLC189.14	Collinsella	Collinsella PLC189.14
PLC189.19	Agathobaculum sp003481705	Agathobaculum sp003481705 PLC189.19
PLC189.22	Dialister sp002320515	Dialister sp002320515 PLC189.22
PLC189.5	Prevotella sp015074785	Prevotella sp015074785 PLC189.5
PLC189.9	Phocaeicola plebeius_A	Phocaeicola plebeius_A PLC189.9
PLC190.13	Acutalibacteraceae	Acutalibacteraceae PLC190.13
PLC190.17	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC190.17
PLC190.2	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC190.2
PLC190.20	Bifidobacterium longum	Bifidobacterium longum PLC190.20
PLC190.4	Gemmiger formicilis	Gemmiger formicilis PLC190.4
PLC190.7	Enterococcus_B lactis	Enterococcus_B lactis PLC190.7
PLC191.21	Ruminococcus_E sp934476515	Ruminococcus_E sp934476515 PLC191.21
PLC191.22	Parasutterella gallistercoris	Parasutterella gallistercoris PLC191.22
PLC192.1	Fusobacterium_A ulcerans	Fusobacterium_A ulcerans PLC192.1
PLC192.13	Faecalimonas sp000209385	Faecalimonas sp000209385 PLC192.13
PLC192.16	Clostridium_AQ innocuum	Clostridium_AQ innocuum PLC192.16
PLC192.21	Flavonifractor plautii	Flavonifractor plautii PLC192.21
PLC192.24	Faecalibacterium longum	Faecalibacterium longum PLC192.24
PLC192.7	Anaerobutyricum hallii	Anaerobutyricum hallii PLC192.7
PLC192.8	Bifidobacterium adolescentis	Bifidobacterium adolescentis PLC192.8
PLC192.9	Schaedlerella glycyrrhizinilytica_A	Schaedlerella glycyrrhizinilytica_A PLC192.9
PLC193.12	Lachnospirales	Lachnospirales PLC193.12
PLC193.8	Agathobacter rectalis	Agathobacter rectalis PLC193.8
PLC193.9	Collinsella intestinalis	Collinsella intestinalis PLC193.9
PLC194.15	Collinsella sp003458415	Collinsella sp003458415 PLC194.15
PLC194.32	Blautia_A wexlerae	Blautia_A wexlerae PLC194.32
PLC194.40	Megamonas funiformis	Megamonas funiformis PLC194.40
PLC196.11	Acutalibacteraceae	Acutalibacteraceae PLC196.11
PLC196.4	Collinsella sp905215385	Collinsella sp905215385 PLC196.4
PLC196.6	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC196.6
PLC199.5	Dorea_A longicatena_B	Dorea_A longicatena_B PLC199.5
PLC199.6	Prevotella stercorea	Prevotella stercorea PLC199.6
PLC200.1	Corynebacterium amycolatum	Corynebacterium amycolatum PLC200.1
PLC200.12	Corynebacterium simulans	Corynebacterium simulans PLC200.12
PLC200.13	Varibaculum cambriense_A	Varibaculum cambriense_A PLC200.13
PLC200.14	Peptoniphilus_C coxii	Peptoniphilus_C coxii PLC200.14
PLC200.3	Corynebacterium aurimucosum_C	Corynebacterium aurimucosum_C PLC200.3
PLC200.4	Corynebacterium	Corynebacterium PLC200.4
PLC200.7	Peptoniphilus_A harei_A	Peptoniphilus_A harei_A PLC200.7
PLC200.9	Winkia sp002849225	Winkia sp002849225 PLC200.9
PLC201.10	Fusicatenibacter saccharivorans	Fusicatenibacter saccharivorans PLC201.10
PLC201.14	Megasphaera sp000417505	Megasphaera sp000417505 PLC201.14
PLC201.2	Bilophila wadsworthia	Bilophila wadsworthia PLC201.2
PLC201.21	Fimenecus sp000432435	Fimenecus sp000432435 PLC201.21
PLC201.23	Faecalibacterium sp900539945	Faecalibacterium sp900539945 PLC201.23
PLC201.3	Phascolarctobacterium faecium	Phascolarctobacterium faecium PLC201.3
PLC201.4	Limosilactobacillus mucosae	Limosilactobacillus mucosae PLC201.4
PLC201.7	Parabacteroides distasonis	Parabacteroides distasonis PLC201.7
PLC201.8	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans PLC201.8
PLC203.2	Ruminococcaceae	Ruminococcaceae PLC203.2
PLC203.21	Coprococcus sp900066115	Coprococcus sp900066115 PLC203.21
PLC203.25	Dialister succinatiphilus	Dialister succinatiphilus PLC203.25
PLC203.26	Fimenecus sp000432435	Fimenecus sp000432435 PLC203.26
PLC204.10	Bilophila wadsworthia	Bilophila wadsworthia PLC204.10
PLC204.13	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC204.13
PLC204.18	Holdemanella sp900556915	Holdemanella sp900556915 PLC204.18
PLC204.19	Anaerostipes hadrus	Anaerostipes hadrus PLC204.19
PLC204.23	Parasutterella gallistercoris	Parasutterella gallistercoris PLC204.23
PLC204.25	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC204.25
PLC205.13	Clostridia	Clostridia PLC205.13
PLC205.14	Copromonas sp900066535	Copromonas sp900066535 PLC205.14
PLC205.15	Faecalibacterium longum	Faecalibacterium longum PLC205.15
PLC205.17	Megamonas funiformis	Megamonas funiformis PLC205.17
