#OTU ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
Agathobacter sp900543445 PLC123.3	3111264	0	1638	8617	3605	4046	7429	6537	7333	4807	6026	16036	9327	1776	9468	9159	12106	0	8227	16745	5555	2755	1685	17450	9878	3928	2957	3615	9945	3205	2295	18932	9190	3748	2364	7683	62825	7668	0	5068	3567	4406	13468	13350	1295	9643	1959	5368	5450	27618	1241	4082	90452	5787	5021	8899	2911516	900	22899	0	5132	5671	15810	8953	5164	8335	42088	15101	5476	3562	1322	5576	3518	0	47621	579	18938	2466	0	1940	0	2826	3485	4415	37186	3019	80387	7132	3556	5207	2906	742	6304	1257	9646	13004	6653	6018	7018	6996	1865	18766	3617	4098	10118	1349	8297	14016	7717	11036	2281	691	31235	4917	3837	37551	3730	1705	2819	73307
Fusicatenibacter saccharivorans PLC187.2	78554	0	108917	31766	166162	0	116212	57391	18604	91330	58947	17304	32867	105178	49366	74929	104977	90437	3472	5041	45792	95626	18382	58547	50224	189188	74430	62438	182004	0	49042	23143	48830	822	8191	51030	4921	47470	138199	39690	2350	118935	59715	69733	11574	198897	10575	1979	52619	4192	122570	121114	8903	166428	30978	39370	74180	39963	20504	0	24492	7902	62434	69997	94389	104647	17489	2768	3778	92617	56250	72503	9542	10929	40961	18668	121491	0	0	0	118171	2017	6935	215940	68061	95719	31398	14801	17954	12451	82655	0	82704	88263	90073	142553	29029	49703	85629	101168	0	20857	101778	0	67402	18701	37003	204740	82504	87637	0	5446	10094	13448	0	33665	11098	28623	153339	17419
Alistipes putredinis PLC188.14	443473	29173	1142734	16008	186993	784509	0	376917	46301	454419	35947	274132	150703	156884	173693	35541	127578	864339	335380	512914	0	85818	45743	116045	0	411573	309734	289932	276757	4911	635077	1299405	0	343110	98317	256605	257836	16443	269841	0	13238	708510	939826	56786	13582	0	15537	11009	397825	134656	100556	322593	10392	40094	55429	76377	352280	151571	69664	6721	2806	990636	253981	165267	331225	51608	26244	505563	16825	194125	240683	0	3787	5822	16098	1909	303047	162343	3356	3392	287116	17882	107034	146347	3488542	115768	107784	33082	75378	633461	134509	0	172196	190742	48259	1459700	7405	49603	204961	597244	5418	63476	42014	35391	8607	384215	6868	54016	516039	58171	0	73262	28104	68867	80104	450493	142051	871123	257511	60604
Dorea_A longicatena_B PLC189.11	0	7648	11797	21636	29645	0	96204	17922	11558	15654	75404	3260	11569	0	18936	45383	30686	16974	10574	3314	1611	41887	0	70759	66249	2230	4296	2418	17363	0	13009	44875	59384	32665	5504	35931	3557	35988	0	39169	0	0	12387	49808	16601	52121	4308	0	21047	20044	0	12489	16898	83559	47484	9436	6577	0	33681	0	61010	14518	1967	40865	76788	18116	10493	29995	5406	3539	4509	0	28256	16482	42666	1009	43992	14965	0	0	1197	0	4617	6418	2691	8491	30399	50620	112792	3249	204139	5656	14622	4842	15791	20285	14430	14545	113875	41401	0	15083	34374	169403	101191	0	7918	48633	16790	47159	18159	6829	4275	17856	29753	5940	11164	11244	17919	39240
Agathobaculum sp003481705 PLC189.19	2723	1454	2422	3370	7303	11111	1851	0	729	6069	1945	2029	6042	3222	4226	6832	5296	0	1307	0	0	5283	588	0	10291	0	987	4938	11835	0	0	996	460	21128	12916	14247	5134	720	0	7626	1933	0	3902	958	0	6930	2536	1786	3469	1905	0	1997	2718	3835	536	6221	4512	1317	690	0	7376	1999	0	1835	5834	21644	3309	20548	9356	0	0	0	3810	1118	4311	0	56072	7881	0	2621	0	0	1917	1197	1194	919	4333	1393	17806	25891	10108	1415	27234	0	1585	2972	3275	4530	64847	3649	0	2647	7329	2158	1979	0	0	2581	1624	3449	34036	667	1942	755	4990	5830	33475	7932	0	14850
Dialister sp002320515 PLC189.22	6428	5839	14041	5207	6657	6212	6800	4530	796	5239	11253	12398	20851	15584	6826	12579	14561	24857	9565	16264	0	4163	7477	11427	14549	7321	3981	3286	6186	1424	26037	9246	12184	8949	2499	9055	35440	10944	5701	11073	7997	6787	16251	9376	2250	6282	9695	4850	6231	21030	12144	7789	1614	19005	5413	2499	12219	0	30157	4768	14517	15645	5794	4291	54711	5255	1519	25650	45355	7837	5413	3130	4574	7303	12140	498	10525	31654	12512	4676	4980	16983	7198	9491	2231	3022	59306	11620	34825	50585	10227	13173	39593	4509	14972	18873	16505	6760	105592	16692	679	43876	10323	8004	17952	5791	8891	54462	11986	15390	4008	3939	11290	10707	0	3847	6218	25857	16987	9073
Gemmiger formicilis PLC190.4	7325	3826	18396	749262	265235	1129	1541784	39598	33227	95627	46368	0	26308	6030	34089	0	59015	0	110622	115910	7446	95915	57218	46622	55316	1603	9150	23089	12761	31441	40373	166521	0	17748	20008	2208	53925	67724	0	15487	67452	9959	15435	22108	70755	74171	22798	1682	0	37470	2492	281363	44789	0	73573	23170	10441	0	33237	30528	33738	110862	26016	14368	65786	110835	28769	14515	26012	32977	1547	668013	132772	0	38877	65967	45498	83494	29059	8913	2499	4659	24243	53738	32004	9799	72196	17957	857	66973	927	8859	55642	28846	150179	440194	4298	24822	201076	64697	1576	40913	500330	2774	165316	7855	196466	208081	9826	33830	29189	0	46337	244801	101693	47000	79791	833191	0	61634
Ruminococcus_E sp934476515 PLC191.21	25197	44012	18821	0	2223487	2343	0	42470	1008	1585	22982	1145	0	91044	0	15150	68918	55329	0	9194	0	20514	6382	17764	0	48387	15536	10872	103834	0	31026	2280	0	16554	2653	45869	24226	2598	82593	1333	6073	27248	52565	9487	774	4573	12480	9337	2823	585	26588	64963	7937	11883	6107	43592	24572	19709	0	1304	0	18898	8174	40603	9910	12542	10702	32525	1544	27160	7641	0	0	0	0	0	10538	3935	523	1918	6396	0	3461	20920	6134	2008	0	0	0	2387	27182	7808	16917	7408	0	10597	3335	13783	6145	83360	1132	16347	4448	0	0	15773	3018	0	22412	12726	653	0	0	0	4121	6542	3947	1395	39191	2056
Clostridium_AQ innocuum PLC192.16	658	4768	3025	20864	2223	381413	4599	2944	0	6009	2694	0	1650	38637	20917	24746	2440	3575	6457	5544	0	33115	14268	12559	882	1827	5012	634	2603	6733	6736	5795	42167	12604	607	1485	4277	7068	1400	7471	25006	13077	2350	3468	11052	122703	842	78188	5735	4235	206645	7405	71761	34217	3511	0	1325	41211	1755	17054	20289	819	123357	2510	3469	2641	34174	853	889	3320	13912	7085	3019	12093	1526	0	3343	4884	31530	189765	6538	6828	2782	111974	0	6440	2930	8282	13421	9326	21231	0	5903	5982	4392	8327	14976	3736	34253	1358	31195	1957	3641	35120	16542	37930	3755	8232	8328	10606	8083	5107	2247	13800	3181	3081	3934	4938	1670	1436
Faecalibacterium longum PLC192.24	73419	26587	0	108457	156314	888634	0	63204	37421	57318	63345	1898	19249	0	52194	0	36604	0	36805	103271	0	75018	0	28350	65450	1490	0	32230	24876	9893	51101	80702	9188	9485	25633	28332	59924	93910	0	38396	26701	0	10136	607173	16513	63572	51548	0	1429	42817	0	14529	21598	34515	19565	11235	139452	0	4657	0	21120	30241	49128	9958	5716	52341	13426	21252	27123	32032	0	0	29937	81773	29959	92459	78615	28424	0	27920	0	20195	20961	0	0	34989	11188	24058	0	115838	140305	16755	87983	0	95542	58883	51630	657541	57510	31963	0	21763	317654	28679	40099	18998	57196	280293	11145	36273	353634	15624	16787	23303	13919	0	311917	248090	98664	66238
Schaedlerella glycyrrhizinilytica_A PLC192.9	12922	11198	9725	5804	1361	657053	7160	1677	480	459	15426	47052	794	4636	6404	0	3824	4827	8084	6692	618	10796	1036	6794	6353	908	3675	0	2253	7693	10439	1540	23373	3780	0	6385	4493	11710	757	14845	3769	4722	2123	2224	8338	21392	0	34808	2592	7920	2039	1742	4222	9390	4654	2133	11517	3373	5289	0	6426	2915	2378	25497	3542	5727	1788	2278	847	2254	1412	0	8250	0	7659	546	21250	8802	0	4371	0	34182	2208	2691	1978	11322	6055	9364	626322	2491	129328	5071	6429	15604	9682	6401	510	9047	7641	4574	0	4627	0	215136	63714	19959	3389	5801	5771	12909	0	2803	2714	8818	2555	4084	6566	4376	27937	4034
Blautia_A wexlerae PLC194.32	11904	0	20475	99548	19446	152479	40379	460834	21354	38615	73486	133021	20308	89780	99005	259282	332125	2483	52973	32789	15000	38809	28406	371446	83260	5414	4311	23413	27114	43801	0	146689	266645	40370	42394	168906	112881	51270	0	453546	82788	14726	63147	81811	46164	126700	0	839973	148724	247616	0	82775	60126	83288	43762	10510	24919	17338	187256	0	335183	4037	13735	107085	177391	26839	46298	44127	16323	22280	7066	19376	151630	17309	144189	3952	44464	59214	0	74839	7173	132075	16853	28689	3657	43838	138515	114927	91059	59103	37905	0	117737	2375	43666	33635	28549	47125	119749	78663	16029	35500	110018	990484	1230750	78794	101271	241096	34540	109098	114424	17496	71539	33248	16034	41010	77015	10552	21458	28494
Dorea_A longicatena_B PLC199.5	1227	0	11067	28925	21190	14669	130942	18673	10924	25360	255869	1670	7268	5795	24577	60847	25472	0	2637	1466	0	55806	0	100417	66729	9062	6405	6061	6268	5830	1618	22153	84853	16432	7805	35731	27464	68301	0	73270	3265	1572	21146	41031	24336	68708	0	1429	19256	63808	6446	15683	29308	78924	43516	2946	6340	9791	39910	0	45183	13062	2809	27571	88986	9918	18238	40828	1593	6772	0	4542	25803	0	44062	1008	44727	21638	0	31446	0	0	0	0	7981	15274	38582	62583	80968	17914	187386	0	39534	0	19037	18130	18544	21923	95395	30151	0	33208	2828	154774	194204	0	9329	116974	12286	47026	11635	6773	7498	3091	34062	4480	15626	14022	22752	38629
Varibaculum cambriense_A PLC200.13	0	0	1095	8447	1170	2984	3639	4243	814	1619	7330	7298	1898	896	3671	8786	1288	0	2721	0	1717	2457	846	2195	32061	0	801	2916	2085	8815	1797	1201	2827	1252	10318	1683	1413	1727	0	4087	3392	0	3066	1921	1940	1850	0	2865	2889	9127	3395	1588	2156	11684	970	1926	766	572	3059	0	4247	2496	2856	3268	1944	0	1763	3452	3999	1176	401	859	770	1099	7244	1392	2931	3281	0	2416	959	4395	1259	6873	836	1427	3827	12915	5493	1583	2707	1782	2544	970	1094	1654	10695	0	5733	3458	0	1446	1175	5268	5594	1723	2886	5628	5645	3160	2631	886	1408	2072	625	662	1871	742	1385	2389
Winkia sp002849225 PLC200.9	3715	19445	955	34311	4479	17094	43962	13389	998	78839	28962	12941	8624	6251	9040	13192	5497	2778	5538	6415	159711	18902	3243	37613	2709	1786	31330	9122	3653	92529	36806	18115	41591	59041	4418	7086	9678	44151	4255	13811	84206	3771	7158	14428	140580	18263	1968	89178	2851	9621	24217	2289	4544	28687	70962	1666	3542	11997	26167	130813	38955	9849	3500	3907	3464	4676	3530	5293	2513	3300	50178	6984	78351	14269	2513	115907	6365	9262	179848	97594	5931	23390	3022	8721	92942	47760	21834	33124	15597	48591	5803	24966	15565	127268	12372	7790	10243	19692	7540	4995	1911	21454	7284	6022	13793	79176	8081	8711	29646	11877	10689	123450	78546	12504	239346	69827	7865	21568	1361	4001
Bilophila wadsworthia PLC201.2	24922	13705	5476	37667	6802	4221	0	17780	478	10988	2124	426092	18295	6449	39036	2628	2576	13926	62305	27043	0	6833	6980	747	0	151753	211379	37597	62335	47686	77396	20019	310205	2242	34234	17424	9600	9497	84191	46923	16810	23315	47272	6535	3589	22096	9054	5313	22039	24295	0	17757	16631	1739	2653	1428	16822	38537	1730	0	7916	0	59241	8307	92707	897	11346	2299	2963	7796	39242	3275	2465	18506	7408	0	38350	24090	0	109638	0	341601	88073	0	5382	0	2065	36394	299597	204401	33996	0	4868	65889	10037	773	108556	58114	41388	121198	0	14820	1269	10481	104563	23728	22841	25282	37009	22121	1399	10113	8858	40420	267311	1787	19454	153217	1154	17096
Faecalibacterium sp900539945 PLC201.23	165489	1627	90526	104947	86746	22596	9410	49254	1249177	1013672	1739765	2670818	528186	76686	141156	53156	499226	20010	461982	2682175	0	732627	13869	343521	707510	60742	109104	201466	432363	85427	318706	1631537	13960	6308	297583	1323677	895946	606827	28639	68315	24349	97072	105353	292147	313829	744757	167394	0	9818	256044	22536	143229	198693	144851	1054953	109541	588421	39471	22631	0	208312	51911	542146	80010	79648	444390	133839	391436	481354	175588	117546	14533	579223	21856	228987	6074	801056	99602	0	6496	0	16459	67721	23432	228121	543050	59552	28292	22613	48395	65670	61904	1060814	26665	487230	325330	288448	41635	852073	733627	5698	306277	796841	6688	37570	26589	651928	169906	123280	55525	55971	40966	173812	34894	189941	238117	469828	67988	61906	654332
